startTime,P,ABS
09:00,13.78,14.95
10:00,14.54,15.58
11:00,14.13,15.48
12:00,14.94,15.23
13:00,14.24,15.8
14:00,14.14,14.59
15:00,14.13,15.74
16:00,13.84,15.23
17:00,13.54,16.67
18:00,8.18,11.79
19:00,8.74,14.36
